,pirelli_traction_1_5,pirelli_asphalt_grip_1_5,#7_asphalt_abrasion_1_5,pirelli_track_evolution_1_5,pirelli_tyre_stress_1_5,pirelli_braking_1_5,pirelli_lateral_1_5,pirelli_downforce_1_5
Austin,,,,,,,,
Austin 2025,4,3,3,4,4,3,4,4
Austin 2024,4,3,3,4,4,3,4,4
Austin 2023,4,3,4,4,4,3,4,4
Austin 2022,3,4,4,3,5,2,5,4
Austin 2021,3,3,4,,4,3,4,3
Austin 2019,,2,3,,3,,4,3
Baku,,,,,,,,
Baku 2025,5,2,1,5,3,4,1,2
Baku 2024,5,2,1,5,3,4,1,2
Baku 2023,5,1,1,5,3,4,1,1
Baku 2022,5,1,1,5,3,4,1,1
Baku 2021,5,2,1,,3,4,2,2
Baku 2019,,2,1,,3,,2,2
Barcelona,,,,,,,,
Barcelona 2025,3,3,4,3,5,3,5,4
Barcelona 2024,3,3,4,3,5,3,5,4
Barcelona 2023,3,3,4,3,5,3,5,4
Barcelona 2022,3,3,4,3,4,3,4,4
Barcelona 2021,3,4,3,3,4,4,4,4
Barcelona 2020,3,4,3,,4,4,4,4
Barcelona 2019,,4,3,,4,,4,4
Budapest,,,,,,,,
Budapest 2025,4,3,3,4,3,3,3,5
Budapest 2024,4,2,2,4,3,3,3,5
Budapest 2023,4,3,2,4,3,3,3,5
Budapest 2022,4,3,2,4,3,3,3,5
Budapest 2021,3,3,2,,3,2,4,5
Budapest 2020,4,4,3,,3,2,4,4
Budapest 2019,,4,3,,3,,4,4
Imola,,,,,,,,
Imola 2025,2,2,2,2,3,3,3,3
Imola 2024,2,2,3,2,3,3,3,3
Imola 2022,2,2,3,3,3,3,3,3
Imola 2021,2,3,3,,3,3,3,3
Imola 2020,2,,,,3,3,3,3
Jeddah,,,,,,,,
Jeddah 2025,2,4,2,4,3,3,4,2
Jeddah 2024,2,4,2,4,3,2,3,2
Jeddah 2023,2,3,2,4,3,2,3,2
Jeddah 2022,2,3,2,4,3,2,3,2
Jeddah 2021,2,3,2,,3,2,3,2
Las Vegas,,,,,,,,
Las Vegas 2025,2,1,2,5,4,3,2,1
Las Vegas 2024,2,1,2,5,4,3,2,1
