circuito,vel_media,vel_minima,zonas_freio,pico_desac,n_curvas,abrasion,pit_lane_time_loss_s,altitude_m
Austin,208.8695652173913,82.0,10.0,-32.87037037037078,20,3.5,20.6,130
Baku,209.58126721763085,80.22,11.0,-32.543003254300345,20,1.0,19.7,-25
Barcelona,218.08253968253968,93.0,8.0,-29.783950617283946,16,4.0,22.2,165
Budapest,204.981884057971,99.16,11.0,-30.092592592593235,16,2.0,20.6,239
Imola,233.9664607641272,109.04,9.0,-30.092592592592567,19,3.0,28.2,47
Jeddah,247.838905775076,95.66,8.0,-31.435185185185084,27,2.0,19.2,12
Las Vegas,234.51555699748369,91.0,8.0,-31.04613095238089,17,2.0,20.0,610
Le Castellet,227.8733509234829,86.76,11.0,-26.62037037037015,15,3.0,27.0,408
Lusail,237.2800586510264,104.01,8.0,-23.16468253968269,16,2.5,26.3,5
Melbourne,241.27814569536423,98.7,7.0,-33.14236111111108,14,2.0,19.3,10
Mexico City,198.80565336463224,69.94500000000001,10.0,-33.55709876543199,17,2.0,21.9,2232
Miami,219.57096153846152,73.84,9.0,-35.879629629630394,19,2.0,19.9,1
Monaco,165.03523489932886,49.99,13.0,-29.78294853294851,19,1.0,19.4,47
Montréal,214.91941391941396,66.88,7.0,-33.85416666666711,14,1.5,18.4,13
Monza,258.0664652567976,75.0,7.0,-34.305555555555344,11,3.0,24.3,142
Sakhir,215.2388141794673,74.44,8.0,-32.756197456609854,15,5.0,22.9,-16
Shanghai,210.4326151437132,70.00999999999999,10.0,-32.543459917215486,16,3.0,23.9,14
Silverstone,241.8404393659588,97.08,8.0,-26.620370370369365,18,3.0,19.9,196
Singapore,191.15005846433675,72.28999999999999,13.0,-32.11805555555482,23,3.0,29.1,18
Sochi,223.073264781491,101.915,11.0,-31.8865740740738,18,2.0,25.0,23
Spa-Francorchamps,239.12727272727275,72.0,9.0,-29.89745121465537,19,4.0,18.8,413
Spielberg,239.1895910780669,75.04,7.0,-35.83333333333322,10,3.0,20.3,721
Suzuka,233.31420765027323,79.25,9.0,-27.77777777777738,18,4.0,22.7,60
São Paulo,219.05878190899,90.32,7.0,-29.13194444444449,15,3.0,20.8,765
Yas Island,222.989900822448,74.00999999999999,8.0,-33.598379629629626,21,3.0,21.0,9
Zandvoort,216.71529272775007,101.8,10.0,-28.817997685185187,14,3.0,23.0,3
