circuito,vel_media,vel_minima,pct_baixa_vel,pct_full_throttle,pct_freando,zonas_freio,pico_desac,pico_acel,temp_pista,n_curvas
Austin,208.8695652173913,77.0,17.2680412371134,57.34870317002881,18.414322250639387,10.0,-37.03703703703673,15.625000000000334,37.900000000000006,20
Baku,209.58126721763085,71.0,19.437340153452684,60.40100250626567,19.71496437054632,11.0,-37.037037037037074,16.13646841862612,32.474999999999994,20
Barcelona,218.08253968253968,87.0,7.120743034055728,62.8158844765343,16.037735849056602,8.0,-33.730158730158806,13.888888888888834,36.25,16
Budapest,204.981884057971,94.0,7.885304659498208,54.19354838709678,19.937694704049843,11.0,-34.72222222222219,13.888888888888877,41.0,16
Imola,233.9664607641272,105.0,3.8397339051610704,69.71351490236381,15.685897435897436,9.0,-33.79216269841224,13.888888888888877,33.175,19
Jeddah,247.838905775076,89.0,5.405405405405405,72.59475218658892,12.38390092879257,8.0,-36.70634920634906,13.888888888888877,31.275,27
Las Vegas,234.51555699748366,88.0,16.334947538337367,64.17418707921502,17.22355130249867,8.0,-35.13167064914384,14.670138888888845,13.95,17
Le Castellet,227.87335092348286,80.0,7.754010695187167,60.43360433604336,16.402116402116402,11.0,-35.87962962962933,13.947001394699887,44.4,15
Lusail,237.2800586510264,98.0,2.631578947368421,67.70628517187606,13.55218855218855,8.0,-27.19907407407384,12.731481481481376,27.375,16
Melbourne,241.27814569536423,92.0,5.743243243243244,69.2982456140351,12.982456140350877,7.0,-36.11111111111188,13.117283950617304,34.6,14
Mexico City,198.80565336463224,65.0,25.37198110291845,47.61089367253751,21.181470600941807,10.0,-37.037037037037,13.947001394700198,41.5,17
Miami,219.57096153846152,68.0,19.970238095238095,56.901905434015525,17.103038936372272,9.0,-39.51719576719611,15.277777777777697,42.7,19
Monaco,165.03523489932886,46.0,32.6007326007326,42.80229336163188,25.828395874478822,13.0,-33.08256172839468,16.62520729684924,43.05,19
Montréal,214.91941391941393,62.0,12.29235880398671,61.74496644295302,18.6046511627907,7.0,-37.03703703703783,14.880952380952321,43.1,14
Monza,258.0664652567976,70.0,7.191780821917808,74.70238095238095,12.352941176470589,7.0,-39.230574538091616,15.046296296296171,39.3,11
Sakhir,215.23881417946734,69.0,11.527763827831045,61.943408322648324,17.93836755764598,8.0,-37.037037037037145,15.046296296296283,29.1,15
Shanghai,210.4326151437132,63.0,18.335362554112553,56.231884057971016,17.951766304347828,10.0,-37.03703703703701,15.046296296296617,34.025000000000006,16
Silverstone,241.84043936595876,91.0,6.657433056325024,68.03843201011605,12.885154061624648,8.0,-31.250000000000668,13.888888888888877,34.099999999999994,18
Singapore,191.15005846433675,65.5,16.267493638676847,50.52668981523127,21.821317022384175,13.0,-35.879629629630394,15.62499999999964,34.1,23
Sochi,223.073264781491,97.0,4.699867062071786,64.660882453241,16.305364029449574,11.0,-35.879629629629996,13.88888888888857,31.450000000000003,18
Spa-Francorchamps,239.12727272727273,68.0,10.161662817551962,64.00966183574879,14.009661835748794,9.0,-33.56481481481553,14.880952380952321,24.5,19
Spielberg,239.1895910780669,70.0,6.827309236947792,68.63468634686348,15.730337078651685,7.0,-37.593984962405926,14.983863531581395,47.2,10
Suzuka,233.31420765027323,73.0,8.423913043478262,64.26426426426426,13.432835820895523,9.0,-33.33333333333286,13.947001394699887,32.3,18
São Paulo,219.05878190899,86.0,11.623093681917211,59.050754898811434,17.756813417190777,7.0,-31.498015873016143,13.44072046593913,35.650000000000006,15
Yas Island,222.989900822448,68.0,10.312902847767491,63.17370385359054,16.01282051282051,8.0,-38.19444444444427,13.888888888889186,29.5,21
Zandvoort,216.71529272775007,97.0,6.464252150654232,57.84580136402387,18.04059040590406,10.0,-30.93434343434344,12.731481481481755,32.2,14
