circuito,n_anos,pirelli_traction_1_5,pirelli_asphalt_grip_1_5,#7_asphalt_abrasion_1_5,pirelli_track_evolution_1_5,pirelli_tyre_stress_1_5,pirelli_braking_1_5,pirelli_lateral_1_5,pirelli_downforce_1_5
Austin,6,4.0,3.0,3.5,4.0,4.0,3.0,4.0,4.0
Baku,6,5.0,2.0,1.0,5.0,3.0,4.0,1.0,2.0
Barcelona,7,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0
Budapest,7,4.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0
Imola,5,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
Jeddah,5,2.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0
Las Vegas,3,2.0,1.0,2.0,5.0,4.0,3.0,2.0,1.0
Le Castellet,3,3.5,3.0,3.0,3.0,4.0,2.5,4.0,3.0
Lusail,4,3.0,3.0,2.5,4.0,5.0,3.0,5.0,4.0
Melbourne,5,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0
Mexico City,5,3.0,2.0,2.0,4.5,2.0,3.0,2.0,5.0
Miami,4,3.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0
Monaco,6,5.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0
Montréal,5,5.0,1.0,1.5,5.0,3.0,5.0,1.0,1.0
Monza,7,3.0,2.0,3.0,3.5,5.0,4.0,2.0,1.0
Sakhir,7,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0
Shanghai,4,3.0,3.0,3.0,5.0,4.0,4.0,4.0,2.5
Silverstone,7,3.0,4.0,3.0,2.0,5.0,2.0,5.0,4.0
Singapore,5,4.0,3.0,3.0,4.5,2.0,5.0,2.0,5.0
Sochi,3,4.0,3.0,2.0,,2.0,3.0,3.0,4.0
Spa-Francorchamps,7,4.0,3.5,4.0,3.0,5.0,4.0,5.0,2.0
Spielberg,7,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Suzuka,5,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0
São Paulo,6,3.0,3.0,3.0,4.5,3.0,3.0,3.0,4.0
Yas Island,7,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0
Zandvoort,5,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0
