ano,round,pais,local,evento,formato,data
2018,1,Australia,Melbourne,Australian Grand Prix,conventional,2018-03-25
2018,2,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2018-04-08
2018,3,China,Shanghai,Chinese Grand Prix,conventional,2018-04-15
2018,4,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2018-04-29
2018,5,Spain,Barcelona,Spanish Grand Prix,conventional,2018-05-13
2018,6,Monaco,Monte Carlo,Monaco Grand Prix,conventional,2018-05-27
2018,7,Canada,Montréal,Canadian Grand Prix,conventional,2018-06-10
2018,8,France,Le Castellet,French Grand Prix,conventional,2018-06-24
2018,9,Austria,Spielberg,Austrian Grand Prix,conventional,2018-07-01
2018,10,Great Britain,Silverstone,British Grand Prix,conventional,2018-07-08
2018,11,Germany,Hockenheim,German Grand Prix,conventional,2018-07-22
2018,12,Hungary,Budapest,Hungarian Grand Prix,conventional,2018-07-29
2018,13,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2018-08-26
2018,14,Italy,Monza,Italian Grand Prix,conventional,2018-09-02
2018,15,Singapore,Singapore,Singapore Grand Prix,conventional,2018-09-16
2018,16,Russia,Sochi,Russian Grand Prix,conventional,2018-09-30
2018,17,Japan,Suzuka,Japanese Grand Prix,conventional,2018-10-07
2018,18,United States,Austin,United States Grand Prix,conventional,2018-10-21
2018,19,Mexico,Mexico City,Mexican Grand Prix,conventional,2018-10-28
2018,20,Brazil,São Paulo,Brazilian Grand Prix,conventional,2018-11-11
2018,21,United Arab Emirates,Yas Marina,Abu Dhabi Grand Prix,conventional,2018-11-25
2019,1,Australia,Melbourne,Australian Grand Prix,conventional,2019-03-17
2019,2,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2019-03-31
2019,3,China,Shanghai,Chinese Grand Prix,conventional,2019-04-14
2019,4,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2019-04-28
2019,5,Spain,Barcelona,Spanish Grand Prix,conventional,2019-05-12
2019,6,Monaco,Monte Carlo,Monaco Grand Prix,conventional,2019-05-26
2019,7,Canada,Montréal,Canadian Grand Prix,conventional,2019-06-09
2019,8,France,Le Castellet,French Grand Prix,conventional,2019-06-23
2019,9,Austria,Spielberg,Austrian Grand Prix,conventional,2019-06-30
2019,10,Great Britain,Silverstone,British Grand Prix,conventional,2019-07-14
2019,11,Germany,Hockenheim,German Grand Prix,conventional,2019-07-28
2019,12,Hungary,Budapest,Hungarian Grand Prix,conventional,2019-08-04
2019,13,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2019-09-01
2019,14,Italy,Monza,Italian Grand Prix,conventional,2019-09-08
2019,15,Singapore,Singapore,Singapore Grand Prix,conventional,2019-09-22
2019,16,Russia,Sochi,Russian Grand Prix,conventional,2019-09-29
2019,17,Japan,Suzuka,Japanese Grand Prix,conventional,2019-10-13
2019,18,Mexico,Mexico City,Mexican Grand Prix,conventional,2019-10-27
2019,19,United States,Austin,United States Grand Prix,conventional,2019-11-03
2019,20,Brazil,São Paulo,Brazilian Grand Prix,conventional,2019-11-17
2019,21,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2019-12-01
2020,1,Austria,Spielberg,Austrian Grand Prix,conventional,2020-07-05
2020,2,Austria,Spielberg,Styrian Grand Prix,conventional,2020-07-12
2020,3,Hungary,Budapest,Hungarian Grand Prix,conventional,2020-07-19
2020,4,Great Britain,Silverstone,British Grand Prix,conventional,2020-08-02
2020,5,Great Britain,Silverstone,70th Anniversary Grand Prix,conventional,2020-08-09
2020,6,Spain,Barcelona,Spanish Grand Prix,conventional,2020-08-16
2020,7,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2020-08-30
2020,8,Italy,Monza,Italian Grand Prix,conventional,2020-09-06
2020,9,Italy,Mugello,Tuscan Grand Prix,conventional,2020-09-13
2020,10,Russia,Sochi,Russian Grand Prix,conventional,2020-09-27
2020,11,Germany,Nürburgring,Eifel Grand Prix,conventional,2020-10-11
2020,12,Portugal,Portimão,Portuguese Grand Prix,conventional,2020-10-25
2020,13,Italy,Imola,Emilia Romagna Grand Prix,conventional,2020-11-01
2020,14,Turkey,Istanbul,Turkish Grand Prix,conventional,2020-11-15
2020,15,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2020-11-29
2020,16,Bahrain,Sakhir,Sakhir Grand Prix,conventional,2020-12-06
2020,17,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2020-12-13
2021,1,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2021-03-28
2021,2,Italy,Imola,Emilia Romagna Grand Prix,conventional,2021-04-18
2021,3,Portugal,Portimão,Portuguese Grand Prix,conventional,2021-05-02
2021,4,Spain,Barcelona,Spanish Grand Prix,conventional,2021-05-09
2021,5,Monaco,Monte Carlo,Monaco Grand Prix,conventional,2021-05-23
2021,6,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2021-06-06
2021,7,France,Le Castellet,French Grand Prix,conventional,2021-06-20
2021,8,Austria,Spielberg,Styrian Grand Prix,conventional,2021-06-27
2021,9,Austria,Spielberg,Austrian Grand Prix,conventional,2021-07-04
2021,10,Great Britain,Silverstone,British Grand Prix,sprint,2021-07-18
2021,11,Hungary,Budapest,Hungarian Grand Prix,conventional,2021-08-01
2021,12,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2021-08-29
2021,13,Netherlands,Zandvoort,Dutch Grand Prix,conventional,2021-09-05
2021,14,Italy,Monza,Italian Grand Prix,sprint,2021-09-12
2021,15,Russia,Sochi,Russian Grand Prix,conventional,2021-09-26
2021,16,Turkey,Istanbul,Turkish Grand Prix,conventional,2021-10-10
2021,17,United States,Austin,United States Grand Prix,conventional,2021-10-24
2021,18,Mexico,Mexico City,Mexico City Grand Prix,conventional,2021-11-07
2021,19,Brazil,São Paulo,São Paulo Grand Prix,sprint,2021-11-14
2021,20,Qatar,Lusail,Qatar Grand Prix,conventional,2021-11-21
2021,21,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2021-12-05
2021,22,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2021-12-12
2022,1,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2022-03-20
2022,2,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2022-03-27
2022,3,Australia,Melbourne,Australian Grand Prix,conventional,2022-04-10
2022,4,Italy,Imola,Emilia Romagna Grand Prix,sprint,2022-04-24
2022,5,United States,Miami,Miami Grand Prix,conventional,2022-05-08
2022,6,Spain,Barcelona,Spanish Grand Prix,conventional,2022-05-22
2022,7,Monaco,Monaco,Monaco Grand Prix,conventional,2022-05-29
2022,8,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2022-06-12
2022,9,Canada,Montréal,Canadian Grand Prix,conventional,2022-06-19
2022,10,Great Britain,Silverstone,British Grand Prix,conventional,2022-07-03
2022,11,Austria,Spielberg,Austrian Grand Prix,sprint,2022-07-10
2022,12,France,Le Castellet,French Grand Prix,conventional,2022-07-24
2022,13,Hungary,Budapest,Hungarian Grand Prix,conventional,2022-07-31
2022,14,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2022-08-28
2022,15,Netherlands,Zandvoort,Dutch Grand Prix,conventional,2022-09-04
2022,16,Italy,Monza,Italian Grand Prix,conventional,2022-09-11
2022,17,Singapore,Marina Bay,Singapore Grand Prix,conventional,2022-10-02
2022,18,Japan,Suzuka,Japanese Grand Prix,conventional,2022-10-09
2022,19,United States,Austin,United States Grand Prix,conventional,2022-10-23
2022,20,Mexico,Mexico City,Mexico City Grand Prix,conventional,2022-10-30
2022,21,Brazil,São Paulo,São Paulo Grand Prix,sprint,2022-11-13
2022,22,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2022-11-20
2023,1,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2023-03-05
2023,2,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2023-03-19
2023,3,Australia,Melbourne,Australian Grand Prix,conventional,2023-04-02
2023,4,Azerbaijan,Baku,Azerbaijan Grand Prix,sprint_shootout,2023-04-30
2023,5,United States,Miami,Miami Grand Prix,conventional,2023-05-07
2023,6,Monaco,Monaco,Monaco Grand Prix,conventional,2023-05-28
2023,7,Spain,Barcelona,Spanish Grand Prix,conventional,2023-06-04
2023,8,Canada,Montréal,Canadian Grand Prix,conventional,2023-06-18
2023,9,Austria,Spielberg,Austrian Grand Prix,sprint_shootout,2023-07-02
2023,10,Great Britain,Silverstone,British Grand Prix,conventional,2023-07-09
2023,11,Hungary,Budapest,Hungarian Grand Prix,conventional,2023-07-23
2023,12,Belgium,Spa-Francorchamps,Belgian Grand Prix,sprint_shootout,2023-07-30
2023,13,Netherlands,Zandvoort,Dutch Grand Prix,conventional,2023-08-27
2023,14,Italy,Monza,Italian Grand Prix,conventional,2023-09-03
2023,15,Singapore,Marina Bay,Singapore Grand Prix,conventional,2023-09-17
2023,16,Japan,Suzuka,Japanese Grand Prix,conventional,2023-09-24
2023,17,Qatar,Lusail,Qatar Grand Prix,sprint_shootout,2023-10-08
2023,18,United States,Austin,United States Grand Prix,sprint_shootout,2023-10-22
2023,19,Mexico,Mexico City,Mexico City Grand Prix,conventional,2023-10-29
2023,20,Brazil,São Paulo,São Paulo Grand Prix,sprint_shootout,2023-11-05
2023,21,United States,Las Vegas,Las Vegas Grand Prix,conventional,2023-11-18
2023,22,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,conventional,2023-11-26
2024,1,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2024-03-02
2024,2,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2024-03-09
2024,3,Australia,Melbourne,Australian Grand Prix,conventional,2024-03-24
2024,4,Japan,Suzuka,Japanese Grand Prix,conventional,2024-04-07
2024,5,China,Shanghai,Chinese Grand Prix,sprint_qualifying,2024-04-21
2024,6,United States,Miami,Miami Grand Prix,sprint_qualifying,2024-05-05
2024,7,Italy,Imola,Emilia Romagna Grand Prix,conventional,2024-05-19
2024,8,Monaco,Monaco,Monaco Grand Prix,conventional,2024-05-26
2024,9,Canada,Montréal,Canadian Grand Prix,conventional,2024-06-09
2024,10,Spain,Barcelona,Spanish Grand Prix,conventional,2024-06-23
2024,11,Austria,Spielberg,Austrian Grand Prix,sprint_qualifying,2024-06-30
2024,12,United Kingdom,Silverstone,British Grand Prix,conventional,2024-07-07
2024,13,Hungary,Budapest,Hungarian Grand Prix,conventional,2024-07-21
2024,14,Belgium,Spa-Francorchamps,Belgian Grand Prix,conventional,2024-07-28
2024,15,Netherlands,Zandvoort,Dutch Grand Prix,conventional,2024-08-25
2024,16,Italy,Monza,Italian Grand Prix,conventional,2024-09-01
2024,17,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2024-09-15
2024,18,Singapore,Marina Bay,Singapore Grand Prix,conventional,2024-09-22
2024,19,United States,Austin,United States Grand Prix,sprint_qualifying,2024-10-20
2024,20,Mexico,Mexico City,Mexico City Grand Prix,conventional,2024-10-27
2024,21,Brazil,São Paulo,São Paulo Grand Prix,sprint_qualifying,2024-11-03
2024,22,United States,Las Vegas,Las Vegas Grand Prix,conventional,2024-11-23
2024,23,Qatar,Lusail,Qatar Grand Prix,sprint_qualifying,2024-12-01
2024,24,United Arab Emirates,Yas Island,Abu Dhabi Grand Prix,conventional,2024-12-08
2025,1,Australia,Melbourne,Australian Grand Prix,conventional,2025-03-16
2025,2,China,Shanghai,Chinese Grand Prix,sprint_qualifying,2025-03-23
2025,3,Japan,Suzuka,Japanese Grand Prix,conventional,2025-04-06
2025,4,Bahrain,Sakhir,Bahrain Grand Prix,conventional,2025-04-13
2025,5,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2025-04-20
2025,6,United States,Miami Gardens,Miami Grand Prix,sprint_qualifying,2025-05-04
2025,7,Italy,Imola,Emilia Romagna Grand Prix,conventional,2025-05-18
2025,8,Monaco,Monaco,Monaco Grand Prix,conventional,2025-05-25
2025,9,Spain,Barcelona,Spanish Grand Prix,conventional,2025-06-01
2025,10,Canada,Montréal,Canadian Grand Prix,conventional,2025-06-15
2025,11,Austria,Spielberg,Austrian Grand Prix,conventional,2025-06-29
2025,12,United Kingdom,Silverstone,British Grand Prix,conventional,2025-07-06
2025,13,Belgium,Spa-Francorchamps,Belgian Grand Prix,sprint_qualifying,2025-07-27
2025,14,Hungary,Budapest,Hungarian Grand Prix,conventional,2025-08-03
