circuito,n_corridas,anos
Spielberg,10,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
Silverstone,9,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
Monza,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
Sakhir,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
Yas Island,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
Spa-Francorchamps,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
Budapest,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
Barcelona,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
Baku,7,"[2018, 2019, 2021, 2022, 2023, 2024, 2025]"
Austin,7,"[2018, 2019, 2021, 2022, 2023, 2024, 2025]"
São Paulo,7,"[2018, 2019, 2021, 2022, 2023, 2024, 2025]"
Mexico City,7,"[2018, 2019, 2021, 2022, 2023, 2024, 2025]"
Monaco,7,"[2018, 2019, 2021, 2022, 2023, 2024, 2025]"
Suzuka,6,"[2018, 2019, 2022, 2023, 2024, 2025]"
Montréal,6,"[2018, 2019, 2022, 2023, 2024, 2025]"
Melbourne,6,"[2018, 2019, 2022, 2023, 2024, 2025]"
Singapore,6,"[2018, 2019, 2022, 2023, 2024, 2025]"
Imola,5,"[2020, 2021, 2022, 2024, 2025]"
Zandvoort,5,"[2021, 2022, 2023, 2024, 2025]"
Jeddah,5,"[2021, 2022, 2023, 2024, 2025]"
Le Castellet,4,"[2018, 2019, 2021, 2022]"
Lusail,4,"[2021, 2023, 2024, 2025]"
Shanghai,4,"[2018, 2019, 2024, 2025]"
Miami,4,"[2022, 2023, 2024, 2025]"
Sochi,4,"[2018, 2019, 2020, 2021]"
Las Vegas,3,"[2023, 2024, 2025]"
