circuito,vel_media,vel_minima,pct_baixa_vel,pct_full_throttle,pct_freando,zonas_freio,pico_desac,pico_acel,temp_pista,n_curvas
Austin,208.8695652173913,82.0,17.2680412371134,57.34870317002881,18.414322250639387,10.0,-32.87037037037078,14.01620370370397,37.900000000000006,20
Baku,209.58126721763085,80.22,19.437340153452684,60.40100250626567,19.71496437054632,11.0,-32.543003254300345,14.739858906525477,32.474999999999994,20
Barcelona,218.08253968253968,93.0,7.120743034055728,62.8158844765343,16.037735849056602,8.0,-29.783950617283942,12.731481481481376,36.25,16
Budapest,204.981884057971,99.16,7.885304659498208,54.19354838709678,19.937694704049843,11.0,-30.092592592593235,12.731481481481566,41.0,16
Imola,233.9664607641272,109.03999999999999,3.8397339051610704,69.71351490236381,15.685897435897436,9.0,-30.092592592592567,12.73148148148147,33.175,19
Jeddah,247.838905775076,95.66,5.405405405405405,72.59475218658892,12.38390092879257,8.0,-31.435185185185084,12.731481481481,31.275,27
Las Vegas,234.51555699748366,91.0,16.334947538337367,64.17418707921502,17.22355130249867,8.0,-31.046130952380892,13.063908058071226,13.95,17
Le Castellet,227.87335092348286,86.76,7.754010695187167,60.43360433604336,16.402116402116402,11.0,-26.62037037037015,12.76455026455047,44.4,15
Lusail,237.2800586510264,104.00999999999999,2.631578947368421,67.70628517187606,13.55218855218855,8.0,-23.164682539682694,11.574074074073978,27.375,16
Melbourne,241.27814569536423,98.7,5.743243243243244,69.2982456140351,12.982456140350877,7.0,-33.14236111111108,11.971393034825585,34.6,14
Mexico City,198.80565336463224,69.94500000000001,25.37198110291845,47.61089367253751,21.181470600941807,10.0,-33.55709876543199,13.264204545454595,41.5,17
Miami,219.57096153846152,73.84,19.970238095238095,56.901905434015525,17.103038936372272,9.0,-35.879629629630394,13.888888888889186,42.7,19
Monaco,165.03523489932886,49.99,32.6007326007326,42.80229336163188,25.828395874478822,13.0,-29.78294853294851,15.120370370370585,43.05,19
Montréal,214.91941391941393,66.88,12.29235880398671,61.74496644295302,18.6046511627907,7.0,-33.85416666666711,13.19444444444449,43.1,14
Monza,258.0664652567976,75.0,7.191780821917808,74.70238095238095,12.352941176470589,7.0,-34.305555555555344,13.51506357103366,39.3,11
Sakhir,215.23881417946734,74.44,11.527763827831045,61.943408322648324,17.93836755764598,8.0,-32.756197456609854,13.888888888888792,29.1,15
Shanghai,210.4326151437132,70.00999999999999,18.335362554112553,56.231884057971016,17.951766304347828,10.0,-32.543459917215486,13.88888888888863,34.025000000000006,16
Silverstone,241.84043936595876,97.08,6.657433056325024,68.03843201011605,12.885154061624648,8.0,-26.620370370369365,12.39715608465616,34.099999999999994,18
Singapore,191.15005846433675,72.28999999999999,16.267493638676847,50.52668981523127,21.821317022384175,13.0,-32.11805555555482,13.88888888888916,34.1,23
Sochi,223.073264781491,101.91499999999999,4.699867062071786,64.660882453241,16.305364029449574,11.0,-31.886574074073796,12.458515951986236,31.450000000000003,18
Spa-Francorchamps,239.12727272727273,72.0,10.161662817551962,64.00966183574879,14.009661835748794,9.0,-29.897451214655366,12.904040404040382,24.5,19
Spielberg,239.1895910780669,75.04,6.827309236947792,68.63468634686348,15.730337078651685,7.0,-35.83333333333322,13.888888888888774,47.2,10
Suzuka,233.31420765027323,79.25,8.423913043478262,64.26426426426426,13.432835820895523,9.0,-27.77777777777738,12.731481481481755,32.3,18
São Paulo,219.05878190899,90.32,11.623093681917211,59.050754898811434,17.756813417190777,7.0,-29.13194444444449,12.731481481481376,35.650000000000006,15
Yas Island,222.989900822448,74.00999999999999,10.312902847767491,63.17370385359054,16.01282051282051,8.0,-33.598379629629626,12.750496031746192,29.5,21
Zandvoort,216.71529272775007,101.8,6.464252150654232,57.84580136402387,18.04059040590406,10.0,-28.817997685185187,12.04513888888869,32.2,14
