local,n_corridas,anos,nomes_evento
Spielberg,10,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","['Austrian Grand Prix', 'Styrian Grand Prix']"
Silverstone,9,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","['70th Anniversary Grand Prix', 'British Grand Prix']"
Sakhir,9,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","['Bahrain Grand Prix', 'Sakhir Grand Prix']"
Monza,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",['Italian Grand Prix']
Spa-Francorchamps,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",['Belgian Grand Prix']
Barcelona,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",['Spanish Grand Prix']
Budapest,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",['Hungarian Grand Prix']
Baku,7,"[2018, 2019, 2021, 2022, 2023, 2024, 2025]",['Azerbaijan Grand Prix']
Austin,7,"[2018, 2019, 2021, 2022, 2023, 2024, 2025]",['United States Grand Prix']
Yas Island,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",['Abu Dhabi Grand Prix']
Mexico City,7,"[2018, 2019, 2021, 2022, 2023, 2024, 2025]","['Mexican Grand Prix', 'Mexico City Grand Prix']"
São Paulo,7,"[2018, 2019, 2021, 2022, 2023, 2024, 2025]","['Brazilian Grand Prix', 'São Paulo Grand Prix']"
Suzuka,6,"[2018, 2019, 2022, 2023, 2024, 2025]",['Japanese Grand Prix']
Melbourne,6,"[2018, 2019, 2022, 2023, 2024, 2025]",['Australian Grand Prix']
Montréal,6,"[2018, 2019, 2022, 2023, 2024, 2025]",['Canadian Grand Prix']
Jeddah,5,"[2021, 2022, 2023, 2024, 2025]",['Saudi Arabian Grand Prix']
Imola,5,"[2020, 2021, 2022, 2024, 2025]",['Emilia Romagna Grand Prix']
Zandvoort,5,"[2021, 2022, 2023, 2024, 2025]",['Dutch Grand Prix']
Lusail,4,"[2021, 2023, 2024, 2025]",['Qatar Grand Prix']
Le Castellet,4,"[2018, 2019, 2021, 2022]",['French Grand Prix']
Shanghai,4,"[2018, 2019, 2024, 2025]",['Chinese Grand Prix']
Sochi,4,"[2018, 2019, 2020, 2021]",['Russian Grand Prix']
Monaco,4,"[2022, 2023, 2024, 2025]",['Monaco Grand Prix']
Marina Bay,4,"[2022, 2023, 2024, 2025]",['Singapore Grand Prix']
Las Vegas,3,"[2023, 2024, 2025]",['Las Vegas Grand Prix']
Miami,3,"[2022, 2023, 2024]",['Miami Grand Prix']
Monte Carlo,3,"[2018, 2019, 2021]",['Monaco Grand Prix']
Singapore,2,"[2018, 2019]",['Singapore Grand Prix']
Hockenheim,2,"[2018, 2019]",['German Grand Prix']
Istanbul,2,"[2020, 2021]",['Turkish Grand Prix']
Portimão,2,"[2020, 2021]",['Portuguese Grand Prix']
Miami Gardens,1,[2025],['Miami Grand Prix']
Nürburgring,1,[2020],['Eifel Grand Prix']
Mugello,1,[2020],['Tuscan Grand Prix']
Yas Marina,1,[2018],['Abu Dhabi Grand Prix']
