circuito,ano,temp_pista
Austin,2018,21.6
Austin,2019,26.4
Austin,2021,37.2
Austin,2023,41.4
Austin,2024,38.6
Austin,2025,45.7
Baku,2018,26.6
Baku,2019,32.05
Baku,2021,47.1
Baku,2023,32.9
Baku,2024,37.2
Baku,2025,26.7
Barcelona,2018,27.0
Barcelona,2019,34.2
Barcelona,2020,49.150000000000006
Barcelona,2021,44.650000000000006
Barcelona,2023,24.8
Barcelona,2024,36.25
Barcelona,2025,47.8
Budapest,2018,30.55
Budapest,2019,43.0
Budapest,2020,27.1
Budapest,2021,59.6
Budapest,2023,43.8
Budapest,2024,30.1
Budapest,2025,41.0
Imola,2020,25.0
Imola,2021,26.85
Imola,2024,41.5
Imola,2025,39.5
Jeddah,2021,30.85
Jeddah,2023,31.7
Jeddah,2024,30.8
Jeddah,2025,37.150000000000006
Las Vegas,2023,16.9
Las Vegas,2024,13.95
Las Vegas,2025,12.6
Le Castellet,2018,31.0
Le Castellet,2019,54.150000000000006
Le Castellet,2021,44.4
Lusail,2021,29.15
Lusail,2023,34.4
Lusail,2024,21.6
Lusail,2025,25.6
Melbourne,2018,30.35
Melbourne,2019,37.9
Melbourne,2023,22.9
Melbourne,2024,34.6
Melbourne,2025,40.7
Mexico City,2018,27.2
Mexico City,2019,34.849999999999994
Mexico City,2021,45.3
Mexico City,2023,44.3
Mexico City,2024,38.7
Mexico City,2025,45.9
Miami,2023,42.7
Miami,2024,46.9
Miami,2025,39.7
Monaco,2018,47.2
Monaco,2019,42.1
Monaco,2021,32.9
Monaco,2023,46.0
Monaco,2024,44.0
Monaco,2025,40.5
Montréal,2018,43.6
Montréal,2019,48.05
Montréal,2023,18.4
Montréal,2024,30.85
Montréal,2025,43.1
Monza,2018,29.1
Monza,2019,37.7
Monza,2020,45.3
Monza,2021,31.9
Monza,2023,39.3
Monza,2024,49.0
Monza,2025,42.45
Sakhir,2018,31.75
Sakhir,2019,29.1
Sakhir,2020,27.85
Sakhir,2021,34.0
Sakhir,2023,28.2
Sakhir,2024,21.5
Sakhir,2025,30.8
Shanghai,2018,15.5
Shanghai,2019,33.9
Shanghai,2024,34.150000000000006
Shanghai,2025,38.7
Silverstone,2018,52.3
Silverstone,2019,29.4
Silverstone,2020,38.8
Silverstone,2020,41.3
Silverstone,2021,38.8
Silverstone,2023,21.9
Silverstone,2024,21.3
Silverstone,2025,27.4
Singapore,2018,33.3
Singapore,2019,34.5
Singapore,2023,34.1
Singapore,2024,32.0
Singapore,2025,34.849999999999994
Sochi,2018,36.55
Sochi,2019,30.7
Sochi,2020,32.2
Sochi,2021,16.3
Spa-Francorchamps,2018,26.6
Spa-Francorchamps,2019,41.4
Spa-Francorchamps,2020,24.5
Spa-Francorchamps,2021,17.4
Spa-Francorchamps,2023,23.8
Spa-Francorchamps,2024,22.1
Spa-Francorchamps,2025,37.3
Spielberg,2018,33.1
Spielberg,2019,51.0
Spielberg,2020,49.2
Spielberg,2020,19.8
Spielberg,2021,54.0
Spielberg,2021,52.0
Spielberg,2023,38.7
Spielberg,2024,46.1
Spielberg,2025,47.2
Suzuka,2018,27.8
Suzuka,2019,35.5
Suzuka,2023,36.8
Suzuka,2024,26.7
Suzuka,2025,32.3
São Paulo,2018,36.7
São Paulo,2019,34.6
São Paulo,2021,24.85
São Paulo,2023,38.3
São Paulo,2024,23.5
São Paulo,2025,39.6
Yas Island,2018,31.65
Yas Island,2019,31.2
Yas Island,2020,28.9
Yas Island,2021,29.0
Yas Island,2023,31.95
Yas Island,2024,29.5
Yas Island,2025,29.0
Zandvoort,2021,35.2
Zandvoort,2023,23.25
Zandvoort,2024,30.2
Zandvoort,2025,34.2
